date,max_temp,min_temp,avg_temp
2026-02-24,15.6,10.7,13.149999999999999
2026-02-25,20.6,8.0,14.3
2026-02-26,18.9,9.9,14.399999999999999
2026-02-27,15.2,9.2,12.2
2026-02-28,13.8,8.1,10.95
2026-03-01,13.6,4.7,9.15
2026-03-02,17.8,6.6,12.2
2026-03-03,18.2,7.4,12.8
